0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:56:14 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:56:16 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:35 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:36 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:41 -0300] "GET /Fintech/ReceitaListaServlet HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:41 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:41 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:44 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:50 -0300] "GET /Fintech/DespesaListaServlet HTTP/1.1" 200 18530
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:50 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:50 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:02:57 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:02 -0300] "GET /Fintech/ReceitaListaServlet HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:02 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:02 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:04 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:12 -0300] "GET /Fintech/ReceitaServlet HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:12 -0300] "GET /js/app.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:57 -0300] "POST /Fintech/ReceitaServlet HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [07/Jul/2024:05:03:57 -0300] "GET /js/app.js HTTP/1.1" 404 776
